"Date","Monthly average Spot exchange rate, US$ into Sterling                          XUMAUSS"
"31 Mar 24","1.2716"
"29 Feb 24","1.2622"
"31 Jan 24","1.2701"
"31 Dec 23","1.2653"
"30 Nov 23","1.243"
"31 Oct 23","1.2168"
"30 Sep 23","1.2389"
"31 Aug 23","1.2707"
"31 Jul 23","1.2881"
"30 Jun 23","1.2631"
"31 May 23","1.2473"
"30 Apr 23","1.2452"
"31 Mar 23","1.2135"
"28 Feb 23","1.2086"
"31 Jan 23","1.2233"
"31 Dec 22","1.2184"
"30 Nov 22","1.1744"
"31 Oct 22","1.1307"
"30 Sep 22","1.1326"
"31 Aug 22","1.1999"
"31 Jul 22","1.1989"
"30 Jun 22","1.229"
"31 May 22","1.2443"
"30 Apr 22","1.2917"
"31 Mar 22","1.3173"
"28 Feb 22","1.3538"
"31 Jan 22","1.3561"
"31 Dec 21","1.3301"
"30 Nov 21","1.3448"
"31 Oct 21","1.3696"
"30 Sep 21","1.3733"
"31 Aug 21","1.3799"
"31 Jul 21","1.3807"
"30 Jun 21","1.4027"
"31 May 21","1.4091"
"30 Apr 21","1.3842"
"31 Mar 21","1.3859"
"28 Feb 21","1.387"
"31 Jan 21","1.3633"
"31 Dec 20","1.3432"
"30 Nov 20","1.3207"
"31 Oct 20","1.2985"
"30 Sep 20","1.2956"
"31 Aug 20","1.3126"
"31 Jul 20","1.2691"
"30 Jun 20","1.2526"
"31 May 20","1.23"
"30 Apr 20","1.241"
"31 Mar 20","1.2364"
"29 Feb 20","1.2957"
"31 Jan 20","1.3071"
"31 Dec 19","1.3101"
"30 Nov 19","1.2883"
"31 Oct 19","1.2647"
"30 Sep 19","1.2354"
"31 Aug 19","1.2155"
"31 Jul 19","1.2469"
"30 Jun 19","1.2679"
"31 May 19","1.2841"
"30 Apr 19","1.3036"
"31 Mar 19","1.3165"
"28 Feb 19","1.3017"
"31 Jan 19","1.2901"
"31 Dec 18","1.2661"
"30 Nov 18","1.2901"
"31 Oct 18","1.3012"
"30 Sep 18","1.3062"
"31 Aug 18","1.288"
"31 Jul 18","1.3169"
"30 Jun 18","1.3288"
"31 May 18","1.3459"
"30 Apr 18","1.4083"
"31 Mar 18","1.397"
"28 Feb 18","1.3961"
"31 Jan 18","1.3832"
"31 Dec 17","1.3402"
"30 Nov 17","1.3219"
"31 Oct 17","1.3197"
"30 Sep 17","1.3324"
"31 Aug 17","1.2955"
"31 Jul 17","1.2994"
"30 Jun 17","1.2813"
"31 May 17","1.2933"
"30 Apr 17","1.2652"
"31 Mar 17","1.2348"
"28 Feb 17","1.249"
"31 Jan 17","1.2351"
"31 Dec 16","1.2488"
"30 Nov 16","1.2431"
"31 Oct 16","1.2329"
"30 Sep 16","1.3142"
"31 Aug 16","1.31"
"31 Jul 16","1.3141"
"30 Jun 16","1.4209"
"31 May 16","1.4518"
"30 Apr 16","1.4312"
"31 Mar 16","1.425"
"29 Feb 16","1.4296"
"31 Jan 16","1.4379"
"31 Dec 15","1.4983"
"30 Nov 15","1.519"
"31 Oct 15","1.5339"
"30 Sep 15","1.5326"
"31 Aug 15","1.5583"
"31 Jul 15","1.556"
"30 Jun 15","1.5568"
"31 May 15","1.547"
"30 Apr 15","1.4967"
"31 Mar 15","1.4957"
"28 Feb 15","1.5334"
"31 Jan 15","1.5143"
"31 Dec 14","1.564"
"30 Nov 14","1.578"
"31 Oct 14","1.6068"
"30 Sep 14","1.6305"
"31 Aug 14","1.6709"
"31 Jul 14","1.7069"
"30 Jun 14","1.6906"
"31 May 14","1.6844"
"30 Apr 14","1.6743"
"31 Mar 14","1.6622"
"28 Feb 14","1.6567"
"31 Jan 14","1.647"
"31 Dec 13","1.6375"
"30 Nov 13","1.6104"
"31 Oct 13","1.6094"
"30 Sep 13","1.5865"
"31 Aug 13","1.5507"
"31 Jul 13","1.5172"
"30 Jun 13","1.5478"
"31 May 13","1.5285"
"30 Apr 13","1.5316"
"31 Mar 13","1.5076"
"28 Feb 13","1.5478"
"31 Jan 13","1.5957"
"31 Dec 12","1.6144"
"30 Nov 12","1.5961"
"31 Oct 12","1.6079"
"30 Sep 12","1.6116"
"31 Aug 12","1.5719"
"31 Jul 12","1.5589"
"30 Jun 12","1.5571"
"31 May 12","1.5905"
"30 Apr 12","1.6014"
"31 Mar 12","1.5823"
"29 Feb 12","1.5802"
"31 Jan 12","1.551"
"31 Dec 11","1.5585"
"30 Nov 11","1.5804"
"31 Oct 11","1.576"
"30 Sep 11","1.5783"
"31 Aug 11","1.6348"
"31 Jul 11","1.6145"
"30 Jun 11","1.6214"
"31 May 11","1.6312"
"30 Apr 11","1.6345"
"31 Mar 11","1.6159"
"28 Feb 11","1.613"
"31 Jan 11","1.5795"
"31 Dec 10","1.5603"
"30 Nov 10","1.5961"
"31 Oct 10","1.5862"
"30 Sep 10","1.5578"
"31 Aug 10","1.566"
"31 Jul 10","1.5299"
"30 Jun 10","1.4761"
"31 May 10","1.4627"
"30 Apr 10","1.534"
"31 Mar 10","1.5053"
"28 Feb 10","1.5615"
"31 Jan 10","1.6162"
"31 Dec 09","1.6239"
"30 Nov 09","1.6597"
"31 Oct 09","1.6199"
"30 Sep 09","1.6328"
"31 Aug 09","1.6539"
"31 Jul 09","1.6366"
"30 Jun 09","1.6366"
"31 May 09","1.5429"
"30 Apr 09","1.4715"
"31 Mar 09","1.4174"
"28 Feb 09","1.4411"
"31 Jan 09","1.4452"
"31 Dec 08","1.4859"
"30 Nov 08","1.5338"
"31 Oct 08","1.69"
"30 Sep 08","1.7986"
"31 Aug 08","1.8889"
"31 Jul 08","1.988"
"30 Jun 08","1.9658"
"31 May 08","1.9641"
"30 Apr 08","1.9817"
"31 Mar 08","2.0032"
"29 Feb 08","1.9638"
"31 Jan 08","1.9698"
"31 Dec 07","2.0185"
"30 Nov 07","2.0701"
"31 Oct 07","2.0446"
"30 Sep 07","2.0185"
"31 Aug 07","2.0111"
"31 Jul 07","2.0338"
"30 Jun 07","1.9864"
"31 May 07","1.9836"
"30 Apr 07","1.9909"
"31 Mar 07","1.9471"
"28 Feb 07","1.9581"
"31 Jan 07","1.9587"
"31 Dec 06","1.9633"
"30 Nov 06","1.9119"
"31 Oct 06","1.8755"
"30 Sep 06","1.8847"
"31 Aug 06","1.8944"
"31 Jul 06","1.8447"
"30 Jun 06","1.8428"
"31 May 06","1.8702"
"30 Apr 06","1.7685"
"31 Mar 06","1.7435"
"28 Feb 06","1.747"
"31 Jan 06","1.7678"
"31 Dec 05","1.7462"
"30 Nov 05","1.7341"
"31 Oct 05","1.764"
"30 Sep 05","1.8081"
"31 Aug 05","1.7943"
"31 Jul 05","1.7509"
"30 Jun 05","1.8179"
"31 May 05","1.8538"
"30 Apr 05","1.896"
"31 Mar 05","1.9078"
"28 Feb 05","1.8871"
"31 Jan 05","1.8764"
"31 Dec 04","1.9275"
"30 Nov 04","1.8603"
"31 Oct 04","1.8065"
"30 Sep 04","1.7922"
"31 Aug 04","1.8216"
"31 Jul 04","1.8429"
"30 Jun 04","1.8275"
"31 May 04","1.7876"
"30 Apr 04","1.8005"
"31 Mar 04","1.8267"
"29 Feb 04","1.8673"
"31 Jan 04","1.8234"
"31 Dec 03","1.7507"
"30 Nov 03","1.6901"
"31 Oct 03","1.6787"
"30 Sep 03","1.6131"
"31 Aug 03","1.595"
"31 Jul 03","1.6242"
"30 Jun 03","1.6606"
"31 May 03","1.623"
"30 Apr 03","1.5747"
"31 Mar 03","1.5836"
"28 Feb 03","1.6085"
"31 Jan 03","1.6169"
"31 Dec 02","1.5863"
"30 Nov 02","1.5723"
"31 Oct 02","1.5574"
"30 Sep 02","1.5561"
"31 Aug 02","1.5377"
"31 Jul 02","1.5546"
"30 Jun 02","1.4863"
"31 May 02","1.4593"
"30 Apr 02","1.4434"
"31 Mar 02","1.4225"
"28 Feb 02","1.4231"
"31 Jan 02","1.4323"
"31 Dec 01","1.4409"
"30 Nov 01","1.4358"
"31 Oct 01","1.4517"
"30 Sep 01","1.4635"
"31 Aug 01","1.4365"
"31 Jul 01","1.4139"
"30 Jun 01","1.4014"
"31 May 01","1.4259"
"30 Apr 01","1.435"
"31 Mar 01","1.4454"
"28 Feb 01","1.4529"
"31 Jan 01","1.4769"
"31 Dec 00","1.4625"
"30 Nov 00","1.4256"
"31 Oct 00","1.4511"
"30 Sep 00","1.4355"
"31 Aug 00","1.491"
"31 Jul 00","1.5088"
"30 Jun 00","1.5089"
"31 May 00","1.5075"
"30 Apr 00","1.5837"
"31 Mar 00","1.5802"
"29 Feb 00","1.5998"
"31 Jan 00","1.6402"
"31 Dec 99","1.6132"
"30 Nov 99","1.6214"
"31 Oct 99","1.6572"
"30 Sep 99","1.6243"
"31 Aug 99","1.6073"
"31 Jul 99","1.5747"
"30 Jun 99","1.595"
"31 May 99","1.6154"
"30 Apr 99","1.6105"
"31 Mar 99","1.622"
"28 Feb 99","1.6276"
"31 Jan 99","1.6509"
"31 Dec 98","1.6705"
"30 Nov 98","1.662"
"31 Oct 98","1.6952"
"30 Sep 98","1.6822"
"31 Aug 98","1.632"
"31 Jul 98","1.6437"
"30 Jun 98","1.6507"
"31 May 98","1.6366"
"30 Apr 98","1.6733"
"31 Mar 98","1.662"
"28 Feb 98","1.6407"
"31 Jan 98","1.6353"
"31 Dec 97","1.6597"
"30 Nov 97","1.689"
"31 Oct 97","1.6329"
"30 Sep 97","1.6015"
"31 Aug 97","1.6034"
"31 Jul 97","1.6702"
"30 Jun 97","1.6446"
"31 May 97","1.6334"
"30 Apr 97","1.6295"
"31 Mar 97","1.6063"
"28 Feb 97","1.6246"
"31 Jan 97","1.6587"
"31 Dec 96","1.6647"
"30 Nov 96","1.6626"
"31 Oct 96","1.5862"
"30 Sep 96","1.5597"
"31 Aug 96","1.5502"
"31 Jul 96","1.5539"
"30 Jun 96","1.5418"
"31 May 96","1.5152"
"30 Apr 96","1.5145"
"31 Mar 96","1.5271"
"29 Feb 96","1.5364"
"31 Jan 96","1.5306"
"31 Dec 95","1.5398"
"30 Nov 95","1.5623"
"31 Oct 95","1.5779"
"30 Sep 95","1.5584"
"31 Aug 95","1.5681"
"31 Jul 95","1.5953"
"30 Jun 95","1.5949"
"31 May 95","1.5868"
"30 Apr 95","1.6074"
"31 Mar 95","1.6005"
"28 Feb 95","1.572"
"31 Jan 95","1.5747"
"31 Dec 94","1.5595"
"30 Nov 94","1.5886"
"31 Oct 94","1.6057"
"30 Sep 94","1.5651"
"31 Aug 94","1.5427"
"31 Jul 94","1.5463"
"30 Jun 94","1.5252"
"31 May 94","1.5029"
"30 Apr 94","1.4837"
"31 Mar 94","1.4917"
"28 Feb 94","1.4799"
"31 Jan 94","1.4939"
"31 Dec 93","1.4904"
"30 Nov 93","1.4806"
"31 Oct 93","1.5037"
"30 Sep 93","1.5261"
"31 Aug 93","1.4911"
"31 Jul 93","1.4963"
"30 Jun 93","1.5099"
"31 May 93","1.5481"
"30 Apr 93","1.5472"
"31 Mar 93","1.4625"
"28 Feb 93","1.4386"
"31 Jan 93","1.5325"
"31 Dec 92","1.5536"
"30 Nov 92","1.5275"
"31 Oct 92","1.6577"
"30 Sep 92","1.8559"
"31 Aug 92","1.9412"
"31 Jul 92","1.9186"
"30 Jun 92","1.8556"
"31 May 92","1.8109"
"30 Apr 92","1.7576"
"31 Mar 92","1.7238"
"29 Feb 92","1.7781"
"31 Jan 92","1.8127"
"31 Dec 91","1.8258"
"30 Nov 91","1.7787"
"31 Oct 91","1.7226"
"30 Sep 91","1.7249"
"31 Aug 91","1.6841"
"31 Jul 91","1.6503"
"30 Jun 91","1.6499"
"31 May 91","1.7252"
"30 Apr 91","1.7502"
"31 Mar 91","1.8265"
"28 Feb 91","1.9655"
"31 Jan 91","1.9348"
"31 Dec 90","1.9257"
"30 Nov 90","1.9647"
"31 Oct 90","1.9454"
"30 Sep 90","1.8786"
"31 Aug 90","1.8998"
"31 Jul 90","1.8081"
"30 Jun 90","1.7094"
"31 May 90","1.6778"
"30 Apr 90","1.6374"
"31 Mar 90","1.6246"
"28 Feb 90","1.6962"
"31 Jan 90","1.6523"
"31 Dec 89","1.5957"
"30 Nov 89","1.5724"
"31 Oct 89","1.5882"
"30 Sep 89","1.5715"
"31 Aug 89","1.5955"
"31 Jul 89","1.6244"
"30 Jun 89","1.5532"
"31 May 89","1.6295"
"30 Apr 89","1.7022"
"31 Mar 89","1.7146"
"28 Feb 89","1.7541"
"31 Jan 89","1.7748"
"31 Dec 88","1.8282"
"30 Nov 88","1.809"
"31 Oct 88","1.7382"
"30 Sep 88","1.6833"
"31 Aug 88","1.6983"
"31 Jul 88","1.7042"
"30 Jun 88","1.779"
"31 May 88","1.8694"
"30 Apr 88","1.8765"
"31 Mar 88","1.8324"
"29 Feb 88","1.7578"
"31 Jan 88","1.7981"
"31 Dec 87","1.8273"
"30 Nov 87","1.7754"
"31 Oct 87","1.6621"
"30 Sep 87","1.6462"
"31 Aug 87","1.5975"
"31 Jul 87","1.6099"
"30 Jun 87","1.6293"
"31 May 87","1.6661"
"30 Apr 87","1.6299"
"31 Mar 87","1.5919"
"28 Feb 87","1.5271"
"31 Jan 87","1.5071"
"31 Dec 86","1.4383"
"30 Nov 86","1.4253"
"31 Oct 86","1.4276"
"30 Sep 86","1.4716"
"31 Aug 86","1.4867"
"31 Jul 86","1.508"
"30 Jun 86","1.5089"
"31 May 86","1.5206"
"30 Apr 86","1.4986"
"31 Mar 86","1.467"
"28 Feb 86","1.4302"
"31 Jan 86","1.423"
"31 Dec 85","1.4461"
"30 Nov 85","1.4403"
"31 Oct 85","1.4223"
"30 Sep 85","1.3654"
"31 Aug 85","1.3834"
"31 Jul 85","1.3783"
"30 Jun 85","1.2809"
"31 May 85","1.2503"
"30 Apr 85","1.2424"
"31 Mar 85","1.123"
"28 Feb 85","1.0932"
"31 Jan 85","1.1286"
"31 Dec 84","1.1873"
"30 Nov 84","1.2416"
"31 Oct 84","1.2202"
"30 Sep 84","1.259"
"31 Aug 84","1.314"
"31 Jul 84","1.3211"
"30 Jun 84","1.3774"
"31 May 84","1.3893"
"30 Apr 84","1.4238"
"31 Mar 84","1.4566"
"29 Feb 84","1.4402"
"31 Jan 84","1.4082"
"31 Dec 83","1.4355"
"30 Nov 83","1.4776"
"31 Oct 83","1.4974"
"30 Sep 83","1.4984"
"31 Aug 83","1.5017"
"31 Jul 83","1.5283"
"30 Jun 83","1.5491"
"31 May 83","1.5732"
"30 Apr 83","1.5412"
"31 Mar 83","1.4906"
"28 Feb 83","1.5328"
"31 Jan 83","1.5733"
"31 Dec 82","1.6185"
"30 Nov 82","1.633"
"31 Oct 82","1.6978"
"30 Sep 82","1.7141"
"31 Aug 82","1.7267"
"31 Jul 82","1.7348"
"30 Jun 82","1.7578"
"31 May 82","1.8115"
"30 Apr 82","1.7721"
"31 Mar 82","1.8072"
"28 Feb 82","1.8468"
"31 Jan 82","1.8875"
"31 Dec 81","1.9052"
"30 Nov 81","1.9038"
"31 Oct 81","1.8427"
"30 Sep 81","1.817"
"31 Aug 81","1.821"
"31 Jul 81","1.8764"
"30 Jun 81","1.9738"
"31 May 81","2.0895"
"30 Apr 81","2.179"
"31 Mar 81","2.2326"
"28 Feb 81","2.2941"
"31 Jan 81","2.4047"
"31 Dec 80","2.3459"
"30 Nov 80","2.3964"
"31 Oct 80","2.4168"
"30 Sep 80","2.402"
"31 Aug 80","2.3705"
"31 Jul 80","2.3727"
"30 Jun 80","2.3359"
"31 May 80","2.304"
"30 Apr 80","2.2162"
"31 Mar 80","2.2063"
"29 Feb 80","2.2898"
"31 Jan 80","2.2658"
"31 Dec 79","2.2005"
"30 Nov 79","2.1328"
"31 Oct 79","2.1449"
"30 Sep 79","2.1998"
"31 Aug 79","2.2384"
"31 Jul 79","2.2601"
"30 Jun 79","2.1119"
"31 May 79","2.0579"
"30 Apr 79","2.0728"
"31 Mar 79","2.0382"
"28 Feb 79","2.0035"
"31 Jan 79","2.0051"
"31 Dec 78","1.9844"
"30 Nov 78","1.9601"
"31 Oct 78","2.0068"
"30 Sep 78","1.9589"
"31 Aug 78","1.942"
"31 Jul 78","1.8944"
"30 Jun 78","1.8374"
"31 May 78","1.8183"
"30 Apr 78","1.851"
"31 Mar 78","1.9084"
"28 Feb 78","1.9404"
"31 Jan 78","1.9347"
"31 Dec 77","1.8536"
"30 Nov 77","1.8175"
"31 Oct 77","1.7708"
"30 Sep 77","1.7432"
"31 Aug 77","1.7398"
"31 Jul 77","1.7225"
"30 Jun 77","1.7193"
"31 May 77","1.7186"
"30 Apr 77","1.7192"
"31 Mar 77","1.7175"
"28 Feb 77","1.7104"
"31 Jan 77","1.713"
"31 Dec 76","1.6779"
"30 Nov 76","1.6363"
"31 Oct 76","1.6387"
"30 Sep 76","1.7311"
"31 Aug 76","1.7829"
"31 Jul 76","1.7861"
"30 Jun 76","1.7643"
"31 May 76","1.8079"
"30 Apr 76","1.8466"
"31 Mar 76","1.943"
"29 Feb 76","2.0259"
"31 Jan 76","2.0281"
"31 Dec 75","2.0217"
"30 Nov 75","2.0497"
"31 Oct 75","2.057"
"30 Sep 75","2.0845"
"31 Aug 75","2.1149"
"31 Jul 75","2.1856"
"30 Jun 75","2.2804"
"31 May 75","2.3214"
"30 Apr 75","2.3708"
"31 Mar 75","2.4194"
"28 Feb 75","2.395"
"31 Jan 75","2.3626"